"スキルカテゴリ","スキルカテゴリ識別子","スキル分類コード","スキル分類識別子","スキル分類","スキル項目コード","スキル項目識別子","スキル項目"
"メソドロジ","1","S110010","1","（戦略）　市場機会の評価と選定","S110010010","1","ビジネス環境分析手法"
"メソドロジ","1","S110010","1","（戦略）　市場機会の評価と選定","S110010020","2","ビジネス戦略と目標・評価"
"メソドロジ","1","S110010","1","（戦略）　市場機会の評価と選定","S110010030","3","業界動向把握の手法"
"メソドロジ","1","S110010","1","（戦略）　市場機会の評価と選定","S110010040","4","経営管理システム"
"メソドロジ","1","S110010","1","（戦略）　市場機会の評価と選定","S110010050","5","経営戦略手法"
"メソドロジ","1","S110010","1","（戦略）　市場機会の評価と選定","S110010060","6","最新技術動向把握の手法"
"メソドロジ","1","S110010","1","（戦略）　市場機会の評価と選定","S110010070","7","市場調査手法"
"メソドロジ","1","S110020","2","（戦略）　マーケティング","S110020010","8","ブランド・製品戦略手法"
"メソドロジ","1","S110020","2","（戦略）　マーケティング","S110020020","9","マーケットコミュニケーション戦略手法"
"メソドロジ","1","S110020","2","（戦略）　マーケティング","S110020030","10","マーケティングマネジメント手法"
"メソドロジ","1","S110020","2","（戦略）　マーケティング","S110020040","11","マーケティング分析手法"
"メソドロジ","1","S110030","3","（戦略）　製品・サービス戦略","S110030010","12","製品戦略手法"
"メソドロジ","1","S110030","3","（戦略）　製品・サービス戦略","S110030020","13","サービス戦略手法"
"メソドロジ","1","S110030","3","（戦略）　製品・サービス戦略","S110030030","14","ITSM戦略手法"
"メソドロジ","1","S110030","3","（戦略）　製品・サービス戦略","S110030040","15","データセンタ戦略手法"
"メソドロジ","1","S110040","4","（戦略）　販売戦略","S110040010","16","B2Bマーケティング戦略手法"
"メソドロジ","1","S110040","4","（戦略）　販売戦略","S110040020","17","販売実行戦略手法"
"メソドロジ","1","S110040","4","（戦略）　販売戦略","S110040030","18","販売チャネル戦略手法"
"メソドロジ","1","S110050","5","（戦略）　製品・サービス開発戦略","S110050010","19","顧客環境分析手法"
"メソドロジ","1","S110050","5","（戦略）　製品・サービス開発戦略","S110050020","20","製品開発戦略手法"
"メソドロジ","1","S110050","5","（戦略）　製品・サービス開発戦略","S110050030","21","技術開発計画"
"メソドロジ","1","S110050","5","（戦略）　製品・サービス開発戦略","S110050040","22","技術開発戦略の立案"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060010","23","システム化戦略手法"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060020","24","システム活用促進・評価"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060030","25","ソリューションビジネス"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060040","26","業務プロセス"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060050","27","現行システムの調査・分析手法"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060060","28","事業戦略の把握・分析の手法"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060070","29","情報システム戦略"
"メソドロジ","1","S110060","6","（戦略）　システム戦略立案手法","S110060080","458","戦略分析手法"
"メソドロジ","1","S110070","7","（戦略）　コンサルティング手法","S110070010","30","コンサルティング手法"
"メソドロジ","1","S110080","8","（戦略）　業務動向把握手法","S110080010","31","業務動向の把握手法"
"メソドロジ","1","S120010","9","（企画）　システム企画立案手法","S120010010","32","システム化計画"
"メソドロジ","1","S120010","9","（企画）　システム企画立案手法","S120010020","33","システム企画立案手法"
"メソドロジ","1","S120010","9","（企画）　システム企画立案手法","S120010030","34","ソリューション提案手法"
"メソドロジ","1","S120010","9","（企画）　システム企画立案手法","S120010040","35","技術問題解決手法"
