"スキル項目コード","スキル項目識別子","知識項目コード","知識項目識別子","知識項目"
"S110010010","1","K001","1","ニーズ&ウォンツの把握"
"S110010010","1","K002","2","ニーズの分析と優先順位付け"
"S110010010","1","K003","3","マーケティング環境分析"
"S110010010","1","K004","4","マーケティング戦略の長所と短所"
"S110010010","1","K005","5","モデル（待ち行列モデル、販売反応モデル等）"
"S110010010","1","K006","6","ユーザニーズの把握"
"S110010010","1","K007","7","価格感受性"
"S110010010","1","K008","8","概念"
"S110010010","1","K009","9","環境要因の分析"
"S110010010","1","K010","10","技術的環境"
"S110010010","1","K011","11","競合の戦略の分析"
"S110010010","1","K012","12","経済環境"
"S110010010","1","K013","13","現状課題の調査と分析"
"S110010010","1","K014","14","顧客に対するポジショニング分析と設定"
"S110010010","1","K015","15","顧客要望"
"S110010010","1","K016","16","購買決定プロセスの理解"
"S110010010","1","K017","17","購買決定者"
"S110010010","1","K018","18","購買行動に影響を与える要因の理解（文化的要因、社会的要因、個人的要因、心理的要因）"
"S110010010","1","K019","19","購買行動の理解"
"S110010010","1","K020","20","購買人口"
"S110010010","1","K021","21","差別化の検討"
"S110010010","1","K022","22","最適化ルーチン（微分法、数理計画法、統計的決定理論、ゲーム理論等）"
"S110010010","1","K023","23","財務分析"
"S110010010","1","K024","24","参入障壁の分析"
"S110010010","1","K025","25","市場セグメントの選択"
"S110010010","1","K026","26","市場セグメントの評価"
"S110010010","1","K027","27","市場と市場セグメントの理解と設定"
"S110010010","1","K028","28","市場の機会と脅威の発見"
"S110010010","1","K029","29","市場規模"
"S110010010","1","K030","30","市場細分化（地理的変数、人口動態変動、心理的変数、行動上の変数等）"
"S110010010","1","K031","31","市場調査と市場需要の測定"
"S110010010","1","K032","32","自社の強み分析"
"S110010010","1","K033","33","自社内のポジショニング分析と設定"
"S110010010","1","K034","34","社会情勢"
"S110010010","1","K035","35","需要の弾力性"
"S110010010","1","K036","36","需要曲線の見積もり"
"S110010010","1","K037","37","人口動態環境"
"S110010010","1","K038","38","人的資源分析"
"S110010010","1","K039","39","政治"
"S110010010","1","K040","40","製品またはサービスのライフサイクル段階の分析"
"S110010010","1","K041","41","製品またはサービスの優位性分析"
"S110010010","1","K042","42","組織分析"
"S110010010","1","K043","43","弾力的需要"
"S110010010","1","K044","44","定量的方法論の適用と実践"
"S110010010","1","K045","45","統計的ツールの活用（重回帰、判別分析、因子分析、クラスター分析、コンジョイント分析、多次元尺度法）"
"S110010010","1","K046","46","非弾力的需要"
"S110010010","1","K047","47","分析ツールとモデルを活用した投資分野の選定"
"S110010010","1","K048","48","文化的環境"
"S110010010","1","K049","49","法的環境"
"S110010010","1","K050","50","優先順位の選定"
"S110010020","2","K001","51","CSF（Critical Success Factors）"
"S110010020","2","K002","52","IS投資評価手法"
"S110010020","2","K003","53","IT投資効果分析"
"S110010020","2","K004","54","IT評価手法"
"S110010020","2","K005","55","KGI（Key Goal Indicator）"
"S110010020","2","K006","56","KPI（Key Performance Indicator）"
"S110010020","2","K007","57","KT法"
"S110010020","2","K008","58","PEST分析"
"S110010020","2","K009","59","WBSに関する知識"
"S110010020","2","K010","60","ギャップ分析手法"
"S110010020","2","K011","61","シナリオプランニング"
"S110010020","2","K012","62","ナレッジマネジメント"
"S110010020","2","K013","63","ニーズ・ウォンツ分析"
"S110010020","2","K014","64","バランススコアカード"
"S110010020","2","K015","65","ヒアリング手法"
"S110010020","2","K016","66","ビジネスモデリングに関する知識"
"S110010020","2","K017","67","ビジネス環境分析"
"S110010020","2","K018","68","ビジネス戦略立案"
"S110010020","2","K019","69","ベンチマーク"
